	PD_whole_tree	chao1	observed_otus
TS61.2.299186	25.83928	1099.95774648	447.0
TS62.2.299088	22.99058	981.313432836	419.0
TS62.299066	19.44463	821.666666667	345.0
TS63.2.299109	23.51179	841.842105263	409.0
TS63.299005	20.99936	729.654545455	323.0
TS64.2.299164	27.67584	1127.30434783	451.0
TS64.299137	27.66696	1093.71428571	453.0
TS65.2.299065	27.68173	1150.98113208	414.0
TS65.299182	27.93051	1176.55	439.0
TS66.2.299157	28.09224	1536.30769231	454.0
TS66.299194	23.50214	744.97826087	321.0
TS67.2.299127	23.49102	1150.04545455	443.0
TS68.2.298971	26.99515	1307.28169014	486.0
TS68.299202	24.22742	1158.64179104	453.0
TS69.2.298972	26.7075	1151.98591549	451.0
TS69.299058	20.90172	832.318181818	324.0
TS7.2.299010	24.57866	898.48	425.0
TS7.299061	29.98874	1469.125	521.0
TS70.2.299052	26.47485	993.608108108	439.0
TS70.299093	26.00757	1034.41818182	408.0
TS71.2.299080	25.56495	1058.03896104	452.0
TS71.298968	27.87821	1192.79166667	475.0
TS72.299209	27.35117	1158.59016393	438.0
TS73.299077	20.56275	942.75	335.0
TS74.2.299132	30.04324	1239.24137931	517.0
TS74.299177	30.14202	1320.08139535	522.0
TS75.2.298948	14.92693	692.204081633	318.0
TS75.299153	15.03102	549.368421053	312.0
TS76.2.299161	25.98166	1316.2173913	481.0
TS76.299071	24.5287	970.014084507	408.0
TS77.299105	21.93791	956.631578947	384.0
TS78.2.299070	20.88417	918.358490566	359.0
TS78.299102	20.85376	844.456521739	349.0
TS8.299198	27.39916	1228.29411765	473.0
TS82.2.299057	24.8708	889.48	416.0
TS82.299048	21.28706	747.296875	364.0
TS83.2.299171	22.88432	1192.96078431	405.0
TS83.299134	24.49861	1077.66666667	438.0
TS84.2.298962	25.17585	847.232876712	414.0
TS84.299191	20.60932	670.23255814	308.0
TS85.2.299119	20.60924	834.263157895	356.0
TS85.299053	21.83714	936.444444444	402.0
TS86.2.299219	22.36592	884.714285714	400.0
TS86.299064	24.76753	1109.9	405.0
TS87.2.298965	27.97496	1082.85074627	440.0
TS87.299172	28.38157	1038.14705882	443.0
TS88.2.299002	24.0534	823.232876712	390.0
TS88.299013	19.25482	893.565217391	331.0
TS89.2.299023	24.83951	1062.35443038	460.0
TS89.299011	27.01567	1137.07407407	475.0
TS9.2.298969	23.5714	1090.44262295	427.0
TS9.299144	24.21824	1053.71428571	430.0
TS90.2.299200	25.0508	925.652173913	411.0
TS90.298953	26.59006	1053.0	426.0
TS91.2.299008	23.6813	886.614285714	413.0
TS92.2.299118	24.90993	1169.66666667	442.0
TS92.299206	23.06909	969.625	431.0
TS94.2.299160	27.47808	875.887323944	398.0
TS94.299193	27.005	963.677966102	393.0
TS95.2.299006	24.49877	887.92	352.0
TS95.299180	23.94315	755.241935484	356.0
TS96.2.299214	27.83013	1053.30357143	400.0
TS96.299089	25.52832	904.970588235	406.0
TS97.2.299190	24.08261	1169.921875	436.0
TS97.299015	20.75139	902.132075472	361.0
TS98.2.299041	19.92534	913.517857143	371.0
TS98.299220	18.91281	649.873015873	334.0
TS99.2.299069	14.88482	412.894736842	225.0
