	PD_whole_tree	chao1	observed_otus
tp1.CI.E03.5dpc.2Ob.1.793477	8.49534	189.041666667	144.0
tp1.CI.E03.5dpc.2Ob.2.793231	9.48504	280.275862069	182.0
tp1.CI.E03.5dpc.2Ob.3.793278	8.55998	222.6875	143.0
tp1.CI.E03.5dpc.2Ob.4.792405	8.0227	174.416666667	135.0
tp1.CI.E03.5dpc.2Ob.5.793082	8.68001	258.903225806	181.0
tp1.CI.E03.5dpc.3Ln37.10.792694	10.10766	417.28125	216.0
tp1.CI.E03.5dpc.3Ln37.6.792544	10.55145	284.136363636	203.0
tp1.CI.E03.5dpc.3Ln37.7.792933	10.03147	351.083333333	208.0
tp1.CI.E03.5dpc.3Ln37.8.792668	10.54942	331.857142857	214.0
tp1.CI.E03.5dpc.3Ln37.9.792455	11.0308	424.228571429	227.0
tp1.CI.E03.5dpc.3Ob.11.793285	7.88769	164.3	131.0
tp1.CI.E03.5dpc.3Ob.12.793337	8.4778	253.03030303	184.0
tp1.CI.E03.5dpc.3Ob.13.792115	8.45445	182.0	141.0
tp1.CI.E03.5dpc.3Ob.14.792510	9.60449	250.55	156.0
tp1.CI.E03.5dpc.3Ob.15.792020	8.50372	181.870967742	147.0
tp1.CI.E03.5dpc.4Ln.1.792367	12.44835	308.063829787	219.0
tp1.CI.E03.5dpc.4Ln.2.793195	10.63202	305.527777778	204.0
tp1.CI.E03.5dpc.4Ln.3.793544	12.53758	336.026315789	221.0
tp1.CI.E03.5dpc.4Ln.4.793532	13.67295	344.571428571	231.0
tp1.CI.E03.5dpc.4Ln.5.793364	12.48508	269.12244898	214.0
tp1.CI.E03.5dpc.4Ob.10.792180	8.80639	242.65	160.0
tp1.CI.E03.5dpc.4Ob.6.792368	8.97126	207.9	139.0
tp1.CI.E03.5dpc.4Ob.7.792079	10.65172	237.032258065	172.0
tp1.CI.E03.5dpc.4Ob.8.793253	10.93883	284.137931034	191.0
tp1.CI.E03.5dpc.4Ob.9.792071	8.529	258.315789474	162.0
tp1.CI.E03.6dpc.1Ln.1.792104	13.91006	399.466666667	264.0
tp1.CI.E03.6dpc.1Ln.2.792152	9.80484	213.5	164.0
tp1.CI.E03.6dpc.1Ln.3.791974	13.2697	302.9375	225.0
tp1.CI.E03.6dpc.1Ln.4.792718	11.98407	308.363636364	195.0
tp1.CI.E03.6dpc.1Ln.5.792870	14.14627	442.666666667	241.0
tp1.CI.E03.6dpc.1Ln.6.792068	13.22203	332.022727273	224.0
tp1.CI.E03.6dpc.1Ob.11.793015	9.47423	228.107142857	167.0
tp1.CI.E03.6dpc.1Ob.12.793501	8.23324	233.476190476	152.0
tp1.CI.E03.6dpc.1Ob.13.793183	10.01728	248.933333333	173.0
tp1.CI.E03.6dpc.1Ob.14.792845	9.56195	236.545454545	164.0
tp1.CI.E03.6dpc.1Ob.15.792383	9.14818	244.607142857	168.0
tp1.CI.E03.6dpc.1Ob.16.793462	7.08407	160.05	117.0
tp1.CI.E03.6dpc.2Ln54.10.792789	13.16766	423.837209302	255.0
tp1.CI.E03.6dpc.2Ln54.6.791941	13.03183	449.765957447	263.0
tp1.CI.E03.6dpc.2Ln54.7.792095	13.88368	490.133333333	277.0
tp1.CI.E03.6dpc.2Ln54.8.792137	11.47549	357.0	227.0
tp1.CI.E03.6dpc.2Ln54.9.791836	12.06038	476.727272727	265.0
tp1.CI.E03.6dpc.2Ob.1.793112	10.56426	242.2	175.0
