	007-1	011-1	014-1	021-1	023-1	024-1	026-1	027-1	028-1	029-1	030-1	033-1	034-1	035-1	037-1	038-1	039-1	040-1	041-1	043-1	044-1	046-1	047-1	050-1	051-1	052-1	055-1	057-1
034-1	0.923687320615	0.978559463987	0.821985084581	0.857273559012	0.75782358341	0.67293034488	0.945791128187	0.887826167704	0.659930429021	0.782794676806	0.788404247193	0.847008922042	0.0	0.737758112094	0.781737193764	0.7984728017	0.878485114427	0.717759913531	0.815463956052	0.659661374267	0.894698882077	0.708729830368	0.813752317062	0.978411053541	0.793664262481	0.860130313373	0.883310379366	0.776354905099
035-1	0.936309709647	0.980042334442	0.861504095309	0.88623775032	0.776971194687	0.803334036717	0.914010863163	0.880528334043	0.801533742331	0.787637969095	0.800668705983	0.859699453552	0.737758112094	0.0	0.816258035156	0.817397029775	0.832815767793	0.807850846598	0.839639314698	0.756333230102	0.767648843638	0.791127116696	0.804310695405	0.983421010681	0.793486894361	0.831742872197	0.870484061393	0.759187070212
037-1	0.89561928774	0.989363342069	0.870222308892	0.902538663554	0.815773028371	0.835900405327	0.966837569543	0.893832837436	0.765239545144	0.836207414529	0.825248392753	0.857005595433	0.781737193764	0.816258035156	0.0	0.872383686162	0.871070518267	0.804590372968	0.779972707778	0.807167413272	0.925184522478	0.779433681073	0.836982017201	0.988589012116	0.832498210451	0.88665938214	0.858250387636	0.79871735435
038-1	0.972563780845	0.917696381289	0.84387423202	0.905482041588	0.835262983791	0.801047904192	0.944814198558	0.833976833977	0.791512763687	0.838843948794	0.823636363636	0.886817093521	0.7984728017	0.817397029775	0.872383686162	0.0	0.857257740249	0.772263948498	0.905165996725	0.775510204082	0.86990124517	0.854026570444	0.844203532086	0.96851740953	0.80576801628	0.853057199211	0.917677050302	0.839537635387
039-1	0.930323498045	0.975299803114	0.868212911501	0.849233778937	0.861005492184	0.891790562379	0.955485665901	0.848475515861	0.890855663612	0.936805228054	0.861005878511	0.823821808343	0.878485114427	0.832815767793	0.871070518267	0.857257740249	0.0	0.887674773822	0.839395403409	0.885159213703	0.88497886098	0.874720357942	0.864777088869	0.973186462787	0.841452233971	0.924402748991	0.847743637663	0.885318053479
040-1	0.980220562078	0.95109279828	0.838733825259	0.895203915171	0.771138669673	0.735187580854	0.89748244977	0.90322083526	0.747952110901	0.812310388998	0.838431372549	0.857079896745	0.717759913531	0.807850846598	0.804590372968	0.772263948498	0.887674773822	0.0	0.842308754488	0.635150678629	0.919870598482	0.804813208339	0.750923326932	0.991732540431	0.748516910281	0.853852870552	0.895506792059	0.77519315444
041-1	0.966014378532	0.993166089965	0.83188727249	0.867160294711	0.878919993881	0.871753720455	0.97577247191	0.892034972327	0.861275201037	0.918026055471	0.863516289991	0.829304213513	0.815463956052	0.839639314698	0.779972707778	0.905165996725	0.839395403409	0.842308754488	0.0	0.813999454744	0.918515875847	0.869180952381	0.887032242881	0.990677801515	0.847599533684	0.920079260238	0.790503998142	0.822370247016
043-1	0.964798004296	0.95164644714	0.857008072125	0.865741035603	0.776633717738	0.761555948472	0.928402366864	0.890519694474	0.757282215704	0.79564731409	0.778514927277	0.851159357894	0.659661374267	0.756333230102	0.807167413272	0.775510204082	0.885159213703	0.635150678629	0.813999454744	0.0	0.8526443769	0.801908657123	0.782089981314	0.977267913872	0.763017875291	0.847272727273	0.868096341398	0.714928425358
044-1	0.941754974461	0.95853706239	0.790362530961	0.895739209008	0.874754791006	0.776477069274	0.931990247658	0.871262458472	0.923117272387	0.786541921555	0.873972984264	0.923051187688	0.894698882077	0.767648843638	0.925184522478	0.86990124517	0.88497886098	0.919870598482	0.918515875847	0.8526443769	0.0	0.884546271339	0.907619047619	0.807330168858	0.849737234802	0.839641090533	0.900492896492	0.854858229599
046-1	0.878451089353	0.976320151551	0.859734734735	0.844213532165	0.778107024577	0.793752943023	0.928581776039	0.893762183236	0.768266320796	0.781923235658	0.820537275473	0.778351690087	0.708729830368	0.791127116696	0.779433681073	0.854026570444	0.874720357942	0.804813208339	0.869180952381	0.801908657123	0.884546271339	0.0	0.844362292052	0.976695872098	0.80151103939	0.884018967064	0.882185580343	0.827589436224
047-1	0.970513184009	0.978413524057	0.888232203835	0.887941945827	0.830005598059	0.839813115301	0.889961685824	0.853114478114	0.847719493015	0.814948498988	0.765093860984	0.876702393424	0.813752317062	0.804310695405	0.836982017201	0.844203532086	0.864777088869	0.750923326932	0.887032242881	0.782089981314	0.907619047619	0.844362292052	0.0	0.974018419777	0.74823328415	0.897643097643	0.884424502006	0.80854368932
050-1	0.978397341211	0.950132225161	0.977905549454	0.983639067923	0.993983043122	0.992972133693	0.827080670626	0.942183495643	0.989692585895	0.824633936262	0.992547818167	0.993996840442	0.978411053541	0.983421010681	0.988589012116	0.96851740953	0.973186462787	0.991732540431	0.990677801515	0.977267913872	0.807330168858	0.976695872098	0.974018419777	0.0	0.988421694089	0.986755843984	0.983556149733	0.991367320512
051-1	0.972077049425	0.934685328002	0.866747962973	0.876841243863	0.764836301825	0.813500912224	0.946290109059	0.884712186409	0.816620173249	0.764324019193	0.768836669171	0.820260149783	0.793664262481	0.793486894361	0.832498210451	0.80576801628	0.841452233971	0.748516910281	0.847599533684	0.763017875291	0.849737234802	0.80151103939	0.74823328415	0.988421694089	0.0	0.846119005831	0.868279876726	0.725537094776
052-1	0.933363701438	0.856845142674	0.899970020985	0.932680170704	0.863519091847	0.86143572621	0.935635792779	0.901189643107	0.893427380571	0.775905853205	0.910065013243	0.934632160512	0.860130313373	0.831742872197	0.88665938214	0.853057199211	0.924402748991	0.853852870552	0.920079260238	0.847272727273	0.839641090533	0.884018967064	0.897643097643	0.986755843984	0.846119005831	0.0	0.887663503462	0.869691956196
055-1	0.928543281229	0.96432914471	0.858702762542	0.882153249273	0.891818004296	0.89140761229	0.973664877084	0.857375079511	0.901902420085	0.915896025994	0.850039463299	0.843907587663	0.883310379366	0.870484061393	0.858250387636	0.917677050302	0.847743637663	0.895506792059	0.790503998142	0.868096341398	0.900492896492	0.882185580343	0.884424502006	0.983556149733	0.868279876726	0.887663503462	0.0	0.88330362448
057-1	0.971492162713	0.973993196532	0.885809656886	0.855719837406	0.763620965465	0.835005772134	0.960230645298	0.914371257485	0.843991567112	0.825622288194	0.714605133709	0.806842449335	0.776354905099	0.759187070212	0.79871735435	0.839537635387	0.885318053479	0.77519315444	0.822370247016	0.714928425358	0.854858229599	0.827589436224	0.80854368932	0.991367320512	0.725537094776	0.869691956196	0.88330362448	0.0
