	PD_whole_tree	chao1	observed_otus
ITS3.ID109	5.97003	160.0	36.0
ITS3.ID110	2.71891	153.0	17.0
ITS3.ID112	0.0	0.0	0.0
ITS3.ID113	9.7353	342.666666667	82.0
ITS3.ID115	8.60173	221.375	62.0
ITS3.ID117	1.93783	6.0	3.0
ITS3.ID119	4.41717	78.0	21.0
ITS3.ID124	5.18403	186.75	38.0
ITS3.ID125	0.0	0.0	0.0
ITS3.ID126	3.91469	127.0	22.0
ITS3.ID127	3.46536	28.0	10.0
ITS3.ID128	23.91304	1212.12903226	310.0
ITS3.ID129	3.52488	68.5	16.0
ITS3.ID131	3.9562	48.3333333333	18.0
ITS3.ID132	1.81669	10.0	4.0
ITS3.ID133	0.97112	1.0	1.0
ITS3.ID134	3.63682	153.0	17.0
ITS3.ID135	14.35484	766.0	163.0
ITS3.ID136	2.11642	28.0	7.0
ITS3.ID138	1.58614	6.0	3.0
ITS3.ID140	4.01627	111.333333333	27.0
ITS3.ID145	13.09099	573.461538462	129.0
ITS3.ID162	5.72821	138.333333333	30.0
ITS3.ID170	12.32	516.0	126.0
ITS3.ID177	9.735	503.0	74.0
ITS3.ID191	12.7629	486.615384615	121.0
ITS3.ID199	1.37773	3.0	2.0
ITS3.ID201	6.03598	128.5	34.0
ITS3.ID207	21.89368	862.620689655	250.0
ITS3.ID209	2.24566	55.0	10.0
ITS3.ID214	13.51789	472.714285714	144.0
ITS3.ID217	10.10933	669.2	84.0
ITS3.ID220	0.65995	1.0	1.0
ITS3.ID221	8.03656	228.75	63.0
ITS3.ID223	3.63799	39.5	12.0
ITS3.ID231	1.05684	3.0	2.0
ITS3.ID246	11.94662	508.125	93.0
ITS3.ID256	4.34682	94.0	24.0
ITS3.ID43	7.08794	186.375	57.0
ITS3.ID47	1.20948	1.0	1.0
ITS3.ID55	1.99167	11.0	6.0
ITS3.ID56	1.50062	10.0	4.0
ITS3.ID8	1.72632	8.0	5.0
ITS3.ID83	6.81886	237.2	48.0
ITS3.ID85	1.92018	21.0	6.0
ITS3.ID86	1.71793	6.0	3.0
ITS3.ID87	11.13066	372.0	88.0
ITS3.ID89	11.57455	482.272727273	110.0
ITS3.ID90	2.10009	46.0	10.0
ITS3.ID92	4.87612	353.0	28.0
ITS3.ID95	5.76147	157.0	31.0
ITS3.ID97	10.31311	248.352941176	98.0
ITS3.ID98	11.46545	342.352941176	112.0
ITS3.ID99	1.30608	3.0	2.0
