	PD_whole_tree	chao1	observed_otus
100182.1247008	15.89038	507.275862069	200.0
100183.1246704	14.93636	497.037037037	196.0
100187.1246918	6.26594	280.5	88.0
100188.1247093	15.55023	572.291666667	201.0
100190.1246494	13.27732	487.772727273	174.0
100191.1246961	15.0005	437.323529412	202.0
100192.1247106	9.43891	264.0	145.0
100195.1247038	15.28154	684.476190476	201.0
100196.1246487	13.86993	648.625	172.0
100197.1246801	14.87544	445.527777778	209.0
100198.1246877	12.35518	363.323529412	187.0
100200.1246541	13.58104	403.71875	188.0
100203.1246754	14.1725	441.0	186.0
100204.1247092	10.36209	270.3125	115.0
100205.1246838	12.49733	426.090909091	195.0
100206.1246938	8.15211	195.866666667	104.0
100207.1247256	17.74046	620.454545455	235.0
100209.1247393	8.61168	280.75	121.0
100210.1247298	8.2388	306.0	144.0
100211.1246832	8.76155	269.391304348	132.0
100212.1247085	16.49044	559.025641026	241.0
100214.1246953	13.77572	465.230769231	186.0
100216.1246217	11.53929	385.535714286	183.0
100217.1246514	13.20045	460.888888889	192.0
100219.1247117	11.97335	481.307692308	188.0
100220.1247083	15.42236	645.666666667	215.0
100222.1247291	14.65424	429.9375	233.0
100225.1246548	12.51131	345.785714286	169.0
100226.1246263	16.59967	441.526315789	214.0
100227.1246626	12.99461	314.277777778	174.0
100228.1246589	15.02008	667.117647059	189.0
100233.1246246	18.20322	390.076923077	207.0
100234.1246324	9.72753	299.05	133.0
120153.1246821	17.20197	668.216216216	252.0
120155.1246996	14.14982	547.5	200.0
120156.1246895	14.36739	519.5	192.0
120157.1246601	12.55507	612.454545455	189.0
121154.1246277	16.9035	559.161290323	213.0
121181.1246741	13.21365	550.05	181.0
121182.1246215	13.77907	425.791666667	176.0
121183.1246254	12.36432	406.0	186.0
121185.1247360	7.6318	258.157894737	116.0
121186.1246365	19.23305	618.724137931	223.0
121187.1246148	9.74679	216.916666667	122.0
121188.1247234	14.32993	315.772727273	182.0
121189.1247011	13.53556	504.545454545	180.0
121190.1246356	12.77517	622.681818182	193.0
121192.1247127	8.65165	136.4375	80.0
121193.1247063	13.50616	514.5	192.0
121194.1246890	14.17096	392.206896552	174.0
121195.1246166	10.11033	274.391304348	137.0
121196.1247031	13.68432	505.217391304	179.0
121197.1247171	11.62872	434.434782609	169.0
121198.1246569	10.29698	259.6	130.0
121199.1246159	10.05897	399.076923077	160.0
121200.1246461	11.39761	343.055555556	140.0
121201.1247061	9.16644	201.964285714	123.0
121212.1246767	10.19765	406.954545455	154.0
