#SampleID	Lean	Obese
TS83.299134	0.12707182320442	0.87292817679558
TS84.299191	0.0502793296089385	0.949720670391061
TS86.299064	0.268156424581006	0.731843575418994
TS87.299172	0.303482587064677	0.696517412935323
TS88.299013	0.0909090909090909	0.909090909090909
TS89.299011	0.115606936416185	0.884393063583815
TS90.298953	0.242268041237113	0.757731958762887
TS91.299152	0.021505376344086	0.978494623655914
TS92.299206	0.120603015075377	0.879396984924623
TS94.299193	0.175879396984925	0.824120603015075
TS95.299180	0.298969072164948	0.701030927835051
TS96.299089	0.0674157303370786	0.932584269662921
TS97.299015	0.104166666666667	0.895833333333333
TS98.299220	0.203488372093023	0.796511627906977
